date,tp,extreme_rain
2015-05-01,38.817524999999996,0
2015-06-01,82.672514,0
2015-07-01,168.70406,0
2015-08-01,320.77324,1
2015-09-01,185.62347000000003,0
2015-10-01,85.723676,0
2015-11-01,1.2292678000000001,0
2015-12-01,0.0016131671,0
2016-01-01,0.02669287,0
2016-02-01,0.5387280999999999,0
2016-03-01,41.421525,0
2016-04-01,81.37274,0
2016-05-01,87.02951,0
2016-06-01,201.16115000000002,0
2016-07-01,234.68041,0
2016-08-01,374.33136,1
2016-09-01,279.10495000000003,1
2016-10-01,57.49418,0
2016-11-01,1.8866663000000001,0
2016-12-01,0.033966963999999995,0
2017-01-01,0.1964746,0
2017-02-01,0.07350976000000001,0
2017-03-01,2.4757232,0
2017-04-01,31.531364,0
2017-05-01,121.174514,0
2017-06-01,223.10691999999997,0
2017-07-01,116.07703599999999,0
2017-08-01,223.79714,0
2017-09-01,175.004,0
2017-10-01,51.419877,0
2017-11-01,0.8119912,0
2017-12-01,0.46798214,0
2018-01-01,0.0,0
2018-02-01,30.444889999999997,0
2018-03-01,6.1631333,0
2018-04-01,19.874297,0
2018-05-01,90.08951499999999,0
2018-06-01,156.53217,0
2018-07-01,155.67016999999998,0
2018-08-01,275.30122,1
2018-09-01,214.0519,0
2018-10-01,99.48577999999999,0
2018-11-01,1.1539704,0
2018-12-01,0.040318584,0
2019-01-01,0.43857120000000005,0
2019-02-01,10.824347,0
2019-03-01,7.5832848,0
2019-04-01,31.671032,0
2019-05-01,134.97391,0
2019-06-01,139.80395000000001,0
2019-07-01,235.74656,0
2019-08-01,271.12973,1
2019-09-01,279.18886999999995,1
2019-10-01,220.48914,0
2019-11-01,9.086432,0
2019-12-01,0.015898607999999998,0
2020-01-01,0.02299936,0
2020-02-01,0.0933914,0
2020-03-01,20.35261,0
2020-04-01,14.068576,0
2020-05-01,51.50062,0
2020-06-01,129.8498,0
2020-07-01,268.27394999999996,1
2020-08-01,133.85683,0
2020-09-01,344.4196,1
2020-10-01,61.016224,0
2020-11-01,0.14259554000000002,0
2020-12-01,0.027282746,0
2021-01-01,0.012408709,0
2021-02-01,0.022837776,0
2021-03-01,8.763244,0
2021-04-01,3.281257,0
2021-05-01,13.591621,0
2021-06-01,73.43318000000001,0
2021-07-01,77.2625,0
2021-08-01,300.40896,1
2021-09-01,157.80361000000002,0
2021-10-01,30.168042,0
2021-11-01,0.7205354,0
2021-12-01,0.0016131671,0
2022-01-01,0.0056918943,0
2022-02-01,0.028925599,0
2022-03-01,0.90944767,0
2022-04-01,22.807351999999998,0
2022-05-01,37.935518,0
2022-06-01,163.23778,0
2022-07-01,141.28327,0
2022-08-01,142.90915,0
2022-09-01,240.58402,0
2022-10-01,75.73257,0
2022-11-01,0.13722898,0
2022-12-01,0.007244467300000001,0
2023-01-01,0.6445907000000001,0
2023-02-01,0.005118316,0
2023-03-01,16.244356,0
2023-04-01,13.371641,0
2023-05-01,64.79931,0
2023-06-01,109.2821,0
2023-07-01,202.16632,0
2023-08-01,214.68711,0
2023-09-01,113.393456,0
2023-10-01,71.24369999999999,0
2023-11-01,17.04833,0
2023-12-01,0.019976404000000003,0
2024-01-01,0.010531453999999999,0
2024-02-01,0.5908564,0
2024-03-01,3.2577696,0
2024-04-01,19.2345,0
2024-05-01,15.561078,0
2024-06-01,47.245219999999996,0
2024-07-01,179.37437,0
2024-08-01,149.78468,0
2024-09-01,219.46550000000002,0
2024-10-01,118.26043999999999,0
2024-11-01,0.077643665,0
2024-12-01,0.0,0
2025-01-01,0.0034904515,0
2025-02-01,1.8567721000000001,0
2025-03-01,0.43825245999999995,0
2025-04-01,10.980055,0
2025-05-01,74.856944,0
2025-06-01,56.192346,0
2025-07-01,153.82749,0
2025-08-01,195.12317000000002,0
2025-09-01,173.44612,0
2025-10-01,95.93652,0
2025-11-01,0.6721262,0
2025-12-01,0.043723034,0
